prompt_version,id,image,mode,category,error_type,expected_verdict,verdict,response_type,policy_violation,answer_leakage,correctness_label,correctness_rationale,hint_usefulness_1_5,hint_usefulness_rationale,clarity_1_5,clarity_rationale,audit_rationale,message_is
v1,1,1.png,check_solution,Check a fully solved solution,Null,fully_solved,fully_solved,explanation,False,False,Correct,Verdict and explanation are consistent with expected behavior.,N/A,Not scored outside hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=N/A; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Vel gert! Þetta er alveg rétt hjá þér. Þú hefur lagt saman líka liði á réttan hátt: $-1 - 5 - 2 = -8$, svo útkoman er $-8y^5 + xy$."
v1,2,2.png,check_solution,Check a fully solved solution,Null,fully_solved,fully_solved,explanation,False,False,Correct,Verdict and explanation are consistent with expected behavior.,N/A,Not scored outside hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=N/A; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Lausnin er hárrétt hjá þér. Þú fannst fyrst sammengið $B \cup C = \{2, 6, 8, 10\}$ og reiknaðir síðan sniðmengið við $A$ á alveg réttan hátt. Niðurstaðan $\{2, 6\}$ er rétt."
v1,3,3.png,check_solution,Check a fully solved solution,Null,fully_solved,fully_solved,explanation,False,False,Correct,Verdict and explanation are consistent with expected behavior.,N/A,Not scored outside hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=N/A; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Þetta er alveg hárrétt hjá þér! Þú skiptir jöfnunni rétt upp í þrjú tilvik miðað við núllstöðvar algildanna og leystir hvert þeirra nákvæmlega. Niðurstaðan $x \in (-\infty, -10]$ er rétt."
v1,4,4.png,check_solution,Check a fully solved solution,Null,fully_solved,fully_solved,explanation,False,False,Correct,Verdict and explanation are consistent with expected behavior.,N/A,Not scored outside hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=N/A; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Vel gert! Þetta er alveg rétt hjá þér. Þú hefur leyst jöfnuna skref fyrir skref og fengið út rétta útkomu, $x = 6$."
v1,5,5.png,check_solution,Check a fully solved solution,Null,fully_solved,fully_solved,explanation,False,False,Correct,Verdict and explanation are consistent with expected behavior.,N/A,Not scored outside hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=N/A; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Þetta er alveg rétt hjá þér! Þú notaðir kósínusregluna rétt, reiknaðir út gildið fyrir \cos(C) á nákvæman hátt og fannst rétta hornstærð."
v1,6,6.png,check_solution,Check a fully solved solution,Null,fully_solved,incorrect,explanation,False,False,Incorrect,"Verdict mismatch (expected fully_solved, got incorrect).",N/A,Not scored outside hint mode.,3,Understandable with effort.,"Correctness=Incorrect; Hint=N/A; Clarity=3. Main: Verdict mismatch (expected fully_solved, got incorrect).","Útreikningurinn er að mestu réttur, en það er villa í samlagningu ímyndarhluta veldisins. Milli þriðju og fjórðu línu breytist plúsinn á milli liðanna í mínus fyrir mistök: $-\frac{3}{2} + \frac{\pi - 3}{2}$ verður að $-\frac{3}{2} - \frac{\pi - 3}{2}$. Rétt gildi fyrir ímyndarhlutann er $\frac{\pi - 6}{2}$ eða $\frac{\pi}{2} - 3$."
v1,7,7.png,check_solution,Check a fully solved solution,Null,fully_solved,fully_solved,explanation,False,False,Correct,Verdict and explanation are consistent with expected behavior.,N/A,Not scored outside hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=N/A; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Lausnin er rétt. Þú hefur beitt keðjureglunni rétt fyrir bæði logratann og hornaföllin. Lokasvarið er rétt fram sett, en það mætti einnig einfalda nefnarann enn frekar með því að nota hornafallaregluna $\tan(2x) \cos^2(2x) = \sin(2x) \cos(2x) = \frac{1}{2} \sin(4x)$."
v1,8,8.png,hint,Give a hint for a correct solution so far,Null,correct_so_far,correct_so_far,hint,False,False,Correct,Verdict and explanation are consistent with expected behavior.,4,Clear and useful next-step guidance.,5,Very clear and concise.,Correctness=Correct; Hint=4; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,Þetta er rétt byrjun! Næsta skref er að nota regluna $\ln(a^k) = k \ln(a)$ til að færa veldisvísana fram fyrir lograna.
v1,9,9.png,hint,Give a hint for a correct solution so far,Null,correct_so_far,correct_so_far,hint,False,False,Correct,Verdict and explanation are consistent with expected behavior.,5,"Clear, actionable, and tightly scoped hint.",5,Very clear and concise.,Correctness=Correct; Hint=5; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Frábært, þetta er rétt byrjun. Fallið er ekki samfellt þar sem nefnarinn er núll. Geturðu fundið öll gildi á x þar sem \cos(x) = 0?"
v1,10,10.png,hint,Give a hint for a correct solution so far,Null,correct_so_far,correct_so_far,hint,False,True,Correct,Verdict and explanation are consistent with expected behavior.,1,Possible answer leakage detected in hint mode.,5,Very clear and concise.,Correctness=Correct; Hint=1; Clarity=5. Main: Verdict and explanation are consistent with expected behavior.,"Vel gert, þú fannst að rótin er $x = -1$. Þar sem aðgreinirinn er 0 er þetta tvöföld rót. Nú geturðu skrifað þættinguna á forminu $(x - r)^2$ þar sem $r$ er rótin sem þú fannst."
