verdict,response_type,message_is,file_path,expected_verdict,prompt_version
fully_solved,explanation,Vel gert! Þú hefur dregið saman líka liði á réttan hátt og einfaldað stæðuna alveg.,./img/1.png,fully_solved,v4
fully_solved,explanation,Frábært! Þú hefur reiknað bæði sammengið $B \cup C$ og sniðmengið $A \cap (B \cup C)$ hárrétt.,./img/2.png,fully_solved,v4
fully_solved,explanation,"Frábært! Þú leystir jöfnuna alveg rétt. Það var snjallt að skipta dæminu upp í þessi þrjú tilvik og rökfærslan þín í hverju þeirra er mjög skýr. Lokasvarið $x \in ]-\infty, -10]$ er hárrétt.",./img/3.png,fully_solved,v4
fully_solved,explanation,Frábært! Þú leystir jöfnuna alveg rétt og sýndir öll skrefin á skýran hátt.,./img/4.png,fully_solved,v4
fully_solved,explanation,"Vel gert! Þú notar kósínusregluna á réttan hátt, einangrar $\cos(C)$ rétt og framkvæmir útreikningana án villu. Niðurstaðan $C = 60^{\circ}$ er hárrétt.",./img/5.png,fully_solved,v4
incorrect,explanation,Ekki alveg rétt. Í þriðja skrefinu verður reiknivilla þegar þú sameinar veldisvísana; þú setur mínusmerki fyrir framan seinni liðinn í ímyndaða hluta veldisvísisins í stað plúsmerkis. Athugaðu hvernig liðurinn $\frac{\pi i(1-\frac{3}{\pi})}{2}$ flyst yfir þegar þú leggur saman ímynduðu hlutana.,./img/6.png,fully_solved,v4
fully_solved,explanation,Frábært! Þú hefur beitt keðjureglunni rétt í gegnum öll skrefin og komist að réttri niðurstöðu.,./img/7.png,fully_solved,v4
correct_so_far,hint,"Frábært hjá þér að nota margföldunarregluna rétt til að skipta logranum upp í tvo liði! Manstu hvaða reglu þú getur notað þegar þú ert með veldi inni í logranum, eins og $\frac{1}{4}$ og $-3$, til að færa þau fram fyrir og einfalda liðina enn frekar?",./img/8.png,correct_so_far,v4
correct_so_far,hint,"Frábært að sjá að þú skrifaðir fallið sem brot! Fall er ekki samfellt þar sem það er ekki skilgreint. Hvenær verður nefnarinn í þessu broti, $\cos(x)$, jafn núlli?",./img/9.png,correct_so_far,v4
correct_so_far,hint,"Vel gert að finna rótina! Þú ert komin(n) með að $x = -1$ er eina rót margliðunnar (tvöföld rót þar sem $d=0$). Ef tala $r$ er rót í margliðu, manst þú hvernig þú getur notað hana til að skrifa margliðuna á þáttuðu formi sem $(x-r)$?",./img/10.png,correct_so_far,v4
correct_so_far,hint,"Góð byrjun! Það er frábært að þú hafir byrjað á því að finna skilgreiningarmengið. Til að halda áfram að leysa jöfnuna, manstu hvaða aðgerð þú getur beitt á báðar hliðar til að „eyða“ náttúrulega logranum ($\ln$)?",./img/11.png,correct_so_far,v4
correct_so_far,hint,"Mjög vel gert! Þú ert búinn að finna rétta hallatölu fyrir línuna, $h = -1$. Nú þarftu að finna jöfnu línunnar. Manstu hvernig almenn jafna línu lítur út, $y = hx + b$? Hvernig gætir þú notað annan hvorn punktinn og hallatöluna til að finna gildið á $b$?",./img/12.png,correct_so_far,v4
correct_so_far,hint,Mjög góð byrjun og uppsetningin hjá þér er alveg rétt! Nú þarftu að finna leið til að takmarka stærðina á liðnum $|x+1|$. Getur þú gert ráð fyrir að $\delta$ sé að hámarki einhver ákveðin tala (t.d. $\delta \le 1$) til að finna efri mörk fyrir $|x+1|$?,./img/13.png,correct_so_far,v4
correct_so_far,hint,Vel gert! Þú beittir hlutaheildun rétt í fyrsta skrefinu. Hvað gerist ef þú beitir hlutaheildun aftur á nýja heildið $\int e^x \cos(x) dx$?,./img/14.png,correct_so_far,v4
correct_so_far,hint,"Hér ertu með margfeldi af tveimur ólíkum föllum, $2x^2$ og $\log(x)$. Manst þú eftir reglunni um hlutaheildun? Hvaða fall væri skynsamlegt að velja sem það fall sem þú deildar (það sem þú setur sem $u$)?",./img/15.png,correct_so_far,v4
correct_so_far,hint,Góð byrjun! Skoðaðu sambandið á milli nefnarans $8x^2 - 5x$ og teljarans $16x - 5$. Hvað gerist ef þú deildar nefnarann? Gætir þú notað innsetningu (u-substitution) til að einfalda dæmið?,./img/16.png,correct_so_far,v4
incorrect,fix_first,"Ekki alveg rétt. Þegar þú deildar logra með grunntöluna $2$, þá kemur $\log_2$ ekki fyrir í nefnaranum í afleiðunni. Manstu hver reglan er fyrir afleiðu logra með grunntöluna $a$?",./img/17.png,incorrect,v4
correct_so_far,hint,Vel gert að byrja á því að finna fyrstu afleiðurnar! Gott er að halda áfram og finna $f'''(x)$ og $f^{(4)}(x)$. Sérðu einhverja reglu eða lotu sem endurtekur sig í afleiðunum? Hvernig gætir þú notað þá lotu til að finna 67. afleiðuna án þess að reikna þær allar?,./img/18.png,correct_so_far,v4
correct_so_far,hint,"Góð byrjun! Þú hefur réttilega notað reglu L'Hôpital í fyrsta skrefinu. Ef þú athugar nýja markgildið $\lim_{x \to 0} \frac{1 - \cos(x)}{3x^2}$, hvaða óvissuform hefur það? Getur þú beitt sömu reglu aftur?",./img/19.png,correct_so_far,v4
correct_so_far,hint,"Mjög gott! Þú hefur réttilega fundið samsetta fallið $h(x) = 2\sqrt{2e^{3x}}$. Til að finna afleiðuna $h'(x)$, hvaða reglu þarftu að nota þegar þú diffrar 'fall af falli' (samsett fall)? Gæti verið gott að skrifa kvaðratrótina sem veldi, þ.e. $\sqrt{u} = u^{1/2}$, áður en þú byrjar að diffra?",./img/20.png,correct_so_far,v4
correct_so_far,hint,Góð byrjun! Manstu eftir reglu sem tengir $\sin^2(x)$ og $\cos^2(x)$ við töluna $1$? Hvernig gætir þú notað þá reglu til að skipta út tölunni $1$ í jöfnunni þinni?,./img/21.png,correct_so_far,v4
incorrect,explanation,Ekki alveg rétt. Í öðru skrefinu verður reiknivilla þegar þú margfaldar upp úr sviganum. Mundu að margfalda $2$ við báða liðina inni í sviganum $(x+3)$ svo útkoman verði $2x+6$ en ekki $2x+3$.,./img/22.png,incorrect,v4
incorrect,explanation,"Ekki alveg rétt. Villan liggur í því hvernig þú sameinar brotin í fjórða skrefinu. Mundu að mínusinn fyrir framan seinna brotið þarf að dreifast á alla liði í teljaranum, svo þú þarft að reikna $-(6x+3)$ sem gefur $-6x-3$.",./img/23.png,incorrect,v4
incorrect,explanation,"Ekki alveg rétt. Þetta er algebruvilla þar sem þú deilir aðeins fyrri liðnum í teljanum með $x$, en þú þarft að deila báðum liðum teljarans með nefnaranum.",./img/24.png,incorrect,v4
incorrect,explanation,Ekki alveg rétt. Þetta er reiknivilla þar sem liðurinn $\log(4)$ gleymist í öðru skrefinu þegar þú dregur saman lograna. Mundu að samkvæmt lograreglum er $\log(a) + \log(b) + \log(c) = \log(a \cdot b \cdot c)$.,./img/25.png,incorrect,v4
incorrect,explanation,Ekki alveg rétt. Það er reiknivilla í því hvernig þú þáttar $x^2 + 5x + 6$. Athugaðu hvort tölurnar í svigunum þínum leggist örugglega saman í $5$ þegar þú margfaldar úr þeim.,./img/26.png,incorrect,v4
incorrect,explanation,Ekki alveg rétt. Það er villa strax í upphafi þar sem þú skrifar $\log_2(x)$ í stað $\log_2(3)$ eins og stendur í dæminu. Einnig verður að gæta þess að nota ekki lograreglur fyrir samlagningu á liðum sem hafa mismunandi grunntölur (hér $\ln$ og $\log_2$).,./img/27.png,incorrect,v4
incorrect,explanation,Ekki alveg rétt. Í öðru skrefinu er hugtakavilla þar sem þú einfaldar $a^6 \cdot a^{1/2}$ sem $a^3$. Mundu að þegar veldi með sömu grunntölu eru margfölduð saman á að leggja veldisvísana saman ($a^n \cdot a^m = a^{n+m}$).,./img/28.png,incorrect,v4
incorrect,explanation,Ekki alveg rétt. Þetta er hugtakavilla í fyrsta skrefinu; þegar þú deilir báðum megin við ójöfnuna með neikvæðri tölu ($-4$) þá verður þú að muna að snúa ójöfnumerkinu við.,./img/29.png,incorrect,v4
incorrect,explanation,"Ekki alveg rétt. Í síðasta skrefinu er rökvilla þegar þú skiptir úr $t$ yfir í $x$. Mundu að þú skilgreindir $t = x^2$, svo ef $t = -1$ þá þarft þú að leysa jöfnuna $x^2 = -1$ en ekki bara setja $x = -1$.",./img/30.png,incorrect,v4
incorrect,explanation,Ekki alveg rétt. Það er reiknivilla í fyrsta skrefinu þínu þegar þú notar hlutaheildun. Athugaðu formerkið þegar þú finnur stofnfallið fyrir $\sin(x)$.,./img/31.png,incorrect,v4
incorrect,fix_first,Ekki alveg rétt. Það er villa í því hvernig þú setur upp jöfnuna fyrir hallatöluna ($h$). Mundu að hallatalan er skilgreind sem breyting á $y$-gildum deilt með breytingu á $x$-gildum: $h = \frac{y_2 - y_1}{x_2 - x_1}$. Þú virðist hafa gert þetta öfugt.,./img/32.png,incorrect,v4
incorrect,fix_first,Ekki alveg rétt. Það er villa í fyrsta skrefinu hjá þér þegar þú byrjar á hlutaheilduninni. Athugaðu sérstaklega fyrsta liðinn — ertu viss um hvert stofnfallið (heildið) fyrir $\cos(x)$ er?,./img/33.png,incorrect,v4
incorrect,fix_first,"Ekki alveg rétt hjá þér. Þegar þú notar dreifiregluna til að margfalda inn í svigann, þarftu að muna að margfalda $2$ með báðum liðunum inni í honum. Hvað færðu ef þú margfaldar $2$ með $-3$?",./img/34.png,incorrect,v4
incorrect,fix_first,"Ekki alveg rétt. Í síðasta skrefinu er villa þegar þú losar þig við logrann. Þú settir stærðina innan svigans, $x^2-1$, jafna tölunni $2$, en þegar logri er fjarlægður þarf að hækka grunntölu lograns (sem er $10$ í þessu tilfelli) í veldið sem jafnan segir til um.",./img/35.png,incorrect,v4
incorrect,fix_first,Ekki alveg rétt. Það er villa í því hvernig þú einfaldar teljarann $x^2 - 4$. Athugaðu hvort $(x-2)^2$ sé örugglega það sama og $x^2 - 4$ þegar þú margfaldar úr sviganum.,./img/36.png,incorrect,v4
fully_solved,full_solution,"Við skulum fara yfir skrefin við að einfalda þessa stæðu.\n\nSkref 1: Athugum skilgreiningarmengið.\nÞar sem við megum ekki deila með núlli, þá má nefnarinn $x-3$ ekki vera núll. Það þýðir að $x$ má ekki vera $3$, eða $x \\neq 3$.\n\nSkref 2: Þáttum teljarann.\nÍ teljaranum höfum við $x^2-9$. Þetta er mismunur tveggja ferningstala ($x^2$ og $3^2$). Við notum samokuregluna $a^2-b^2 = (a-b)(a+b)$ til að þátta:\n$x^2-9 = (x-3)(x+3)$\n\nSkref 3: Setjum þættina inn í brotið.\n$\\frac{x^2-9}{x-3} = \\frac{(x-3)(x+3)}{x-3}$\n\nSkref 4: Styttum brotið.\nVið sjáum að liðurinn $(x-3)$ er bæði í teljara og nefnara. Við getum því stytt hann út:\n$\\frac{(x-3)(x+3)}{x-3} = x+3$\n\nNiðurstaða:\nStæðan einfaldast í $x+3$ með þeim fyrirvara að $x \\neq 3$.",./img/37.png,fully_solved,v4
fully_solved,full_solution,"Hér er skref-fyrir-skref lausn á jöfnunni:\n\n1. **Finnum formengið**: Lograr eru aðeins skilgreindir fyrir jákvæðar tölur. Því þarf:\n$x - 1 > 0 \Rightarrow x > 1$\n$x + 3 > 0 \Rightarrow x > -3$\nSameiginlega skilyrðið er því $x > 1$.\n\n2. **Sameinum lograna**: Við notum regluna $\log(a) + \log(b) = \log(a \cdot b)$:\n$\log((x - 1)(x + 3)) = 2$\n\n3. **Einangrum stærðina innan lograns**: Miðað við grunninn 10 (þar sem enginn annar grunnur er gefinn) fáum við:\n$(x - 1)(x + 3) = 10^2$\n$(x - 1)(x + 3) = 100$\n\n4. **Einföldum jöfnuna**: Margföldum úr svigunum og komum jöfnunni á staðalformið $ax^2 + bx + c = 0$:\n$x^2 + 3x - x - 3 = 100$\n$x^2 + 2x - 3 - 100 = 0$\n$x^2 + 2x - 103 = 0$\n\n5. **Beitum lausnarformúlunni**: Fyrir $a=1, b=2, c=-103$ fáum við:\n$x = \frac{-2 \pm \sqrt{2^2 - 4 \cdot 1 \cdot (-103)}}{2 \cdot 1}$\n$x = \frac{-2 \pm \sqrt{4 + 412}}{2} = \frac{-2 \pm \sqrt{416}}{2}$\n\n6. **Einföldun og athugun á formengi**: Við getum einfaldað $\sqrt{416} = \sqrt{16 \cdot 26} = 4\sqrt{26}$. Þá fæst:\n$x = \frac{-2 \pm 4\sqrt{26}}{2} = -1 \pm 2\sqrt{26}$\n\nÞar sem við vitum að $x > 1$, þá útilokum við lausnina $x = -1 - 2\sqrt{26}$ þar sem hún er neikvæð. Eina gilda lausnin er því:\n$x = -1 + 2\sqrt{26}$",./img/38.png,fully_solved,v4
fully_solved,full_solution,"Hér er skref-fyrir-skref lausn á dæminu:\n\nVið leysum jöfnuna $|2x - 3| = x + 1$ með því að skipta henni upp í tvö tilfelli byggt á skilgreiningu tölugildisins. Athugaðu að þar sem vinstri hliðin er tölugildi, verður hægri hliðin að vera ekki neikvæð ($x + 1 \geq 0$, sem þýðir $x \geq -1$).\n\n**Tilfelli 1: $2x - 3 \geq 0$ (það er $x \geq \frac{3}{2}$)**\nÞá er stæðan innan tölugildisins jákvæð eða núll, svo við fellum tölugildið niður:\n$2x - 3 = x + 1$\n$2x - x = 1 + 3$\n$x = 4$\nÞar sem $4 \geq \frac{3}{2}$ (og $4 \geq -1$), þá er þetta gild lausn.\n\n**Tilfelli 2: $2x - 3 < 0$ (það er $x < \frac{3}{2}$)**\nÞá er stæðan innan tölugildisins neikvæð, svo við breytum um merki á liðunum:\n$-(2x - 3) = x + 1$\n$-2x + 3 = x + 1$\n$-2x - x = 1 - 3$\n$-3x = -2$\n$x = \frac{2}{3}$\nÞar sem $\frac{2}{3} < \frac{3}{2}$ (og $\frac{2}{3} \geq -1$), þá er þetta líka gild lausn.\n\n**Niðurstaða:**\nLausnir jöfnunnar eru $x = \frac{2}{3}$ og $x = 4$.",./img/39.png,fully_solved,v4
fully_solved, explanation, Frábært! Þú beittir keðjureglunni rétt og sýndir öll skrefin á skýran hátt. Lausnin $f'(x) = \\frac{6x}{3x^2+1}$ er alveg rétt.,./img/40.png,fully_solved,v4
fully_solved,full_solution,"Til þess að heilda þetta fall notum við hlutheildun. Reglan fyrir hlutheildun er:\n$$\int u \, dv = uv - \int v \, du$$\n\nSkref 1: Veljum $u$ og $dv$\nVið veljum $u = x$ því það einfaldast við diffrun, og $dv = \sin(x) dx$.\n\nSkref 2: Finnum $du$ og $v$\n$u = x \Rightarrow du = dx$\n$dv = \sin(x) dx \Rightarrow v = -\cos(x)$\n\nSkref 3: Setjum inn í formúluna\n$\int x \sin(x) dx = x \cdot (-\cos(x)) - \int (-\cos(x)) dx$\n\nSkref 4: Einföldum og klárum heildunina\n$= -x \cos(x) + \int \cos(x) dx$\n$= -x \cos(x) + \sin(x) + C$\n\nNiðurstaðan er því:\n$-x \cos(x) + \sin(x) + C$",./img/41.png,fully_solved,v4
fully_solved,explanation,Mjög vel gert! Þú notaðir samokaregluna rétt til að þátta $x^2 - 16$ í $(x+4)(x-4)$ og styttir brotið á háttvísan hátt.,./img/42.png,fully_solved,v4
fully_solved,explanation,Mjög vel gert! Þú hefur leyst ójöfnuna rétt með því að nota formerkjakönnun og prófa gildi á hverju bili. Lokasvarið er sett fram á réttan hátt með tilliti til þess hvar jafnan er núll og hvar hún er óskilgreind (við $x=4$).,./img/43.png,fully_solved,v4
fully_solved,explanation,"Mjög gott hjá þér! Þetta er rétt teiknað graf af $f(x) = x^2$, þar sem fleygboginn er samhverfur um y-ásinn og hefur topppunkt í punktinum $(0,0)$.",./img/44.png,fully_solved,v4
fully_solved,explanation,Frábært! Þú leystir jöfnuna alveg rétt og sýndir skrefin á mjög skýran hátt. Lausnin $x = 12$ er rétt.,./img/45.png,fully_solved,v4
fully_solved,explanation,Frábært! Þú beittir margfeldisreglunni rétt og fannst rétta afleiðu fyrir $\tan x$. Lausnin þín er algerlega hárétt.,./img/46.png,fully_solved,v4
