verdict,response_type,message_is,file_path,expected_verdict,prompt_version
fully_solved,explanation,"Vel gert! Þetta er alveg rétt hjá þér. Þú hefur lagt saman líka liði á réttan hátt: $-1 - 5 - 2 = -8$, svo útkoman er $-8y^5 + xy$.",./img/1.png,fully_solved,v1
fully_solved,explanation,"Lausnin er hárrétt hjá þér. Þú fannst fyrst sammengið $B \cup C = \{2, 6, 8, 10\}$ og reiknaðir síðan sniðmengið við $A$ á alveg réttan hátt. Niðurstaðan $\{2, 6\}$ er rétt.",./img/2.png,fully_solved,v1
fully_solved,explanation,"Þetta er alveg hárrétt hjá þér! Þú skiptir jöfnunni rétt upp í þrjú tilvik miðað við núllstöðvar algildanna og leystir hvert þeirra nákvæmlega. Niðurstaðan $x \in (-\infty, -10]$ er rétt.",./img/3.png,fully_solved,v1
fully_solved,explanation,"Vel gert! Þetta er alveg rétt hjá þér. Þú hefur leyst jöfnuna skref fyrir skref og fengið út rétta útkomu, $x = 6$.",./img/4.png,fully_solved,v1
fully_solved,explanation,"Þetta er alveg rétt hjá þér! Þú notaðir kósínusregluna rétt, reiknaðir út gildið fyrir \cos(C) á nákvæman hátt og fannst rétta hornstærð.",./img/5.png,fully_solved,v1
incorrect,explanation,"Útreikningurinn er að mestu réttur, en það er villa í samlagningu ímyndarhluta veldisins. Milli þriðju og fjórðu línu breytist plúsinn á milli liðanna í mínus fyrir mistök: $-\frac{3}{2} + \frac{\pi - 3}{2}$ verður að $-\frac{3}{2} - \frac{\pi - 3}{2}$. Rétt gildi fyrir ímyndarhlutann er $\frac{\pi - 6}{2}$ eða $\frac{\pi}{2} - 3$.",./img/6.png,fully_solved,v1
fully_solved,explanation,"Lausnin er rétt. Þú hefur beitt keðjureglunni rétt fyrir bæði logratann og hornaföllin. Lokasvarið er rétt fram sett, en það mætti einnig einfalda nefnarann enn frekar með því að nota hornafallaregluna $\tan(2x) \cos^2(2x) = \sin(2x) \cos(2x) = \frac{1}{2} \sin(4x)$.",./img/7.png,fully_solved,v1
correct_so_far,hint,Þetta er rétt byrjun! Næsta skref er að nota regluna $\ln(a^k) = k \ln(a)$ til að færa veldisvísana fram fyrir lograna.,./img/8.png,correct_so_far,v1
correct_so_far,hint,"Frábært, þetta er rétt byrjun. Fallið er ekki samfellt þar sem nefnarinn er núll. Geturðu fundið öll gildi á x þar sem \cos(x) = 0?",./img/9.png,correct_so_far,v1
correct_so_far,hint,"Vel gert, þú fannst að rótin er $x = -1$. Þar sem aðgreinirinn er 0 er þetta tvöföld rót. Nú geturðu skrifað þættinguna á forminu $(x - r)^2$ þar sem $r$ er rótin sem þú fannst.",./img/10.png,correct_so_far,v1
correct_so_far,hint,Þú hefur fundið rétt skilgreiningarmengi. Til að halda áfram skaltu muna að ef $\ln(a) = 0$ þá er $a = e^0 = 1$. Geturðu notað þetta til að losna við $\ln$ og einangra $x$?,./img/11.png,correct_so_far,v1
correct_so_far,hint,"Frábært, hallatalan $h = -1$ er rétt. Nú þarftu að finna skurðpunktinn við $y$-ás. Þú getur notað jöfnuna $y = hx + b$ og sett annan hvorn punktinn, til dæmis $(3, -3)$, inn fyrir $x$ og $y$ til að finna gildið á $b$.",./img/12.png,correct_so_far,v1
correct_so_far,hint,Þetta er rétt byrjun. Til þess að halda áfram þarftu að finna efri mörk fyrir $|x+1|$. Prófaðu að gera ráð fyrir að $\delta \le 1$ (þ.e. $|x-1| < 1$) og sjáðu hvað það segir þér um stærðina á $|x+1|$.,./img/13.png,correct_so_far,v1
correct_so_far,hint,"Vel gert, þetta er rétt hingað til. Næsta skref er að beita hlutheildun aftur á heildið \(\int e^x \cos(x) dx\) til þess að tengja það aftur við upprunalega heildið.",./img/14.png,correct_so_far,v1
correct_so_far,hint,Góð byrjun. Til að leysa þetta heildi er best að nota hlutheildun. Prófaðu að velja $u = \log(x)$ og $dv = 2x^2 dx$.,./img/15.png,correct_so_far,v1
